q_no,query,a_sf_1,m_sf_1,a_sf_2,m_sf_2,a_sf_3,m_sf_3,a_sf_4,m_sf_4,a_sf_5,m_sf_5,a_sf_6,m_sf_6
1,Q01,10010,81000,9270,88000,13840,81000,11980,86000,13500,91000,11030,97000
2,Q02,37560,107840,34870,109700,31200,107150,31200,109420,31240,110760,36600,108210
3,Q03,6.06,32.39,15.89,44.9,48.86,49.24,59.3,68.16,52.89,105.43,10.56,185.15
4,Q04,40.51,438.61,466.55,2919.64,4531.06,29828.17,52766.73,491664.34,121297.12,94114.7,378919.46,71259.6
5,Q05,33.19,291.11,458.32,2503.91,4928.51,27916.01,58603.28,385419.41,123370.17,128335.23,429828.87,251420.88
6,Q06,6.23,11.76,3.17,20.84,15.09,111.63,122.66,231.5,829.63,120.3,243.92,155.06
7,Q07,0.67,20.84,16.9,127.5,12.03,233.41,276.17,1757.35,510.66,2133.52,327.76,3210.83
8,Q08,1.02,64.92,15.65,617.66,127.21,3877.58,593.84,7241.34,3882.82,6610.85,16321.7,6564.7
9,Q09,7.34,64.12,96.1,848.51,203.39,4698.65,169.75,10681.72,1483.8,14299.24,423.58,12395.64
10,Q10,5.67,16.32,10.42,41.59,7.54,115.55,14.08,1421.2,119.55,1740.87,186.47,5768.1
11,Q11,10.49,105.59,15.77,187.29,14.92,162.04,18.62,184.63,20.83,185.18,17.24,249.23
12,Q12,5.74,68.59,15.63,780.62,358.44,7544.44,1823.33,17630.38,5663.17,15409.05,5387.95,16082.24
13,Q13,7.83,10.42,16.62,7.88,16.32,26.64,33.53,47.4,45.14,57.43,43.65,60.76
14,Q14,305.62,57.57,3743.99,172.36,9730.59,183.95,69.86,229.71,236.85,202.89,234,252.72
15,Q15,32.73,47.03,282.69,435.53,883.36,1048.16,1497.89,1046.45,1709.92,1062.58,2160.73,1096.1
16,Q16,12.11,57.02,323.04,474.46,3873.76,2291.48,12410.31,2025.82,22150.67,1765.94,75591.33,2053.6
17,Q17,8.38,56.02,31.52,584.73,92.85,585.65,187.4,626.32,248.46,707.36,871.54,757.81
18,Q18,5.36,72.82,15.63,733.27,47.16,6873.15,246.92,27218.4,526.43,24564.72,770.9,24777.01
